APN,SitusAddress
1-211-2,824 M L KING JR WAY OAKLAND 94607
1-209-18,718 JEFFERSON ST OAKLAND 94607
1-189-4,329 7TH ST OAKLAND 94607
1-189-10,611 HARRISON ST OAKLAND 94607
1-181-18,602 ALICE ST OAKLAND 94607
1-181-1,636 ALICE ST OAKLAND 94607
1-181-21,618 ALICE ST OAKLAND 94607
1-181-3,622 ALICE ST OAKLAND 94607
1-179-14,227 8TH ST OAKLAND 94607
1-179-16,213 8TH ST OAKLAND 94607
1-179-25,708 ALICE ST OAKLAND 94607
1-177-10,729 MADISON ST OAKLAND 94607
1-177-3,175 8TH ST OAKLAND 94607
1-175-12,607 MADISON ST OAKLAND 94607
1-175-21,612 JACKSON ST OAKLAND 94607
1-175-13,603 MADISON ST OAKLAND 94607
1-173-8,619 OAK ST OAKLAND 94607
1-169-13,64 7TH ST OAKLAND 94607
1-169-15,70 7TH ST OAKLAND 94607
1-169-20,722 OAK ST OAKLAND 94607
1-169-16,76 7TH ST OAKLAND 94607
1-167-11,624 OAK ST OAKLAND 94607
10-835-2,433 SUNNYSLOPE AVE OAKLAND 94610
10-834-15,595 MIRA VISTA AVE OAKLAND 94610
10-834-14-2,601 VALLE VISTA AVE OAKLAND 94610
10-834-2,409 SUNNYSLOPE AVE OAKLAND 94610
10-834-11,625 VALLE VISTA AVE OAKLAND 94610
10-833-36,743 JEAN ST OAKLAND 94610
10-833-18,432 SUNNYSLOPE AVE OAKLAND 94610
10-833-13,448 SUNNYSLOPE AVE OAKLAND 94610
10-833-27,682 JEAN ST OAKLAND 94610
10-832-18,264 SANTA ROSA AVE OAKLAND 94610
10-832-19,258 SANTA ROSA AVE OAKLAND 94610
10-830-19,198 SANTA ROSA AVE OAKLAND 94610
10-830-4,697 VERNON ST OAKLAND 94610
10-828-23,530 CHETWOOD ST OAKLAND 94610
10-828-17,276 SANTA CLARA AVE OAKLAND 94610
10-828-24,534 CHETWOOD ST OAKLAND 94610
10-827-62,3535 GRAND AVE OAKLAND 94610
10-827-79,546 VALLE VISTA AVE OAKLAND 94610
10-827-80,550 VALLE VISTA AVE OAKLAND 94610
10-827-57,3629 GRAND AVE OAKLAND 94610
10-827-9,336 ELWOOD AVE OAKLAND 94610
10-827-58,3623 GRAND AVE OAKLAND 94610
10-826-46,401 ELWOOD AVE OAKLAND 94610
10-826-29,376 SANTA CLARA AVE OAKLAND 94610
10-826-34,452 VALLE VISTA AVE OAKLAND 94610
10-826-59,441 VALLE VISTA AVE OAKLAND 94610
10-823-39-1,476 CRESCENT ST OAKLAND 94610
10-821-11,492 CHETWOOD ST OAKLAND 94610
10-821-7,480 CHETWOOD ST OAKLAND 94610
10-818-32,31 MOSS AVE OAKLAND 94610
10-818-11,178 SANTA CLARA AVE OAKLAND 94610
10-818-22,520 OAKLAND AVE OAKLAND 94611
10-817-8,551 VERNON ST OAKLAND 94610
10-816-9,601 MARIPOSA AVE OAKLAND 94610
10-815-14,3774 HARRISON ST OAKLAND 94611
10-815-19,3814 HARRISON ST OAKLAND 94611
10-815-2,133 BAYO VISTA AVE OAKLAND 94611
10-815-13,3770 HARRISON ST OAKLAND 94611
10-814-32,602 EL DORADO AVE OAKLAND 94611
10-814-38,644 EL DORADO AVE OAKLAND 94611
10-814-19,138 MOSS AVE OAKLAND 94611
10-812-11,3510 HARRISON ST OAKLAND 94611
10-812-4,525 OAKLAND AVE OAKLAND 94611
10-812-16,3536 HARRISON ST OAKLAND 94611
10-812-5,517 OAKLAND AVE OAKLAND 94611
10-810-16,3300 HARRISON ST OAKLAND 94611
10-810-22,3332 HARRISON ST OAKLAND 94611
10-810-11,427 OAKLAND AVE OAKLAND 94611
10-809-11,400 FAIRMOUNT AVE OAKLAND 94611
10-809-3,3335 HARRISON ST OAKLAND 94611
10-807-67,3514 KEMPTON WAY OAKLAND 94611
10-807-12,3523 KEMPTON WAY OAKLAND 94611
10-807-23,3309 KEMPTON AVE OAKLAND 94611
10-807-33,3066 RICHMOND BLVD OAKLAND 94611
10-807-56,3624 RICHMOND BLVD OAKLAND 94611
10-807-8,3545 KEMPTON WAY OAKLAND 94611
10-807-1,193 W MACARTHUR BLVD OAKLAND 94611
10-807-64,509 FAIRMOUNT AVE OAKLAND 94611
10-807-2,189 W MACARTHUR BLVD OAKLAND 94611
10-806-22,3048 RICHMOND BLVD OAKLAND 94611
10-806-14,167 FRISBIE ST OAKLAND 94611
10-806-19-1,106 FRISBIE ST OAKLAND 94611
10-806-21,3042 RICHMOND BLVD OAKLAND 94611
10-805-12,3121 HARRISON ST OAKLAND 94611
10-805-11,3125 HARRISON ST OAKLAND 94611
10-804-3,217 FRISBIE ST OAKLAND 94611
10-804-4,221 FRISBIE ST OAKLAND 94611
